JobTitle	BasePay	OvertimePay	OtherPay	Benefits	TotalPay	TotalPayBenefits	Year	Status
Inspector 3	12544	5873	14455	65702	277581.77	314018.17	2014	PT
Battalion Chief, Fire Suppress	32515	29040	24745	92916	248616.04	313953.67	2014	FT
Executive Contract Employee	34240	3	7	92635	246928.4	310852.07	2014	FT
Manager VIII	32465	3	14434	93480	241390.9	309407.8	2014	FT
Battalion Chief, Fire Suppress	27298	39527	41967	91162	250479.36	309157.4	2014	FT
Dep Dir V	33244	3	7	94548	235462.09	309076.66	2014	FT
Battalion Chief, Fire Suppress	27006	40542	40801	91112	249025.21	307523.68	2014	FT
Nursing Supervisor	30394	3	47393	92348	242870.2	305541.51	2014	FT
Firefighter	7880	6739	30289	81659	260943.62	304554.04	2014	FT
EMT/Paramedic/Firefighter	16342	3074	18562	85016	257051.52	304064.16	2014	FT
Battalion Chief, Fire Suppress	27298	37851	36897	91542	243398.56	303394.82	2014	FT
Senior Physician Specialist	29648	3	50156	92359	239700.33	302401.81	2014	FT
Police Officer 3	108	12419	16111	55627	267902.74	301749.81	2014	PT
Lieutenant, Fire Suppression	16622	2155	20630	84738	254919.54	301667.93	2014	FT
Manager, Dept Public Health	29953	3	47156	92301	238598.6	301075.66	2014	FT
Senior Physician Specialist	28510	3	58129	91706	239744.98	299947.25	2014	FT
Commander 3	31681	3	25945	92270	237489.08	299806.46	2014	FT
Nurse Manager	27316	3391	54186	92257	236721.3	299005.72	2014	FT
Captain, Fire Suppression	24757	54005	17731	89314	244803.51	298697.27	2014	FT
Captain, Fire Suppression	22188	55783	38256	88008	246770.38	298300.85	2014	FT
Senior Physician Specialist	27422	3	63210	91485	238110.12	297901.27	2014	FT
Nursing Supervisor Psychiatric	29682	3	47540	91819	236865.23	297504.64	2014	FT
Manager VIII	33427	3	7	91415	237672.7	297150.12	2014	FT
Captain, Emergency Med Svcs	22221	58783	24506	88134	244821.22	296640.08	2014	FT
Nursing Supervisor	29682	3	46137	91961	235300.59	296394.1	2014	FT
Captain, Fire Suppression	27300	45410	7338	90470	239559.82	296193.89	2014	FT
Manager VIII	32203	3	7	94067	223951.89	294923.42	2014	FT
Battalion Chief, Fire Suppress	27297	36155	30195	91225	235920.65	294808.93	2014	FT
Lieut,Fire Prev	21713	63830	79673	84599	247614.88	294188.35	2014	FT
Captain, Fire Suppression	22186	57376	26394	88317	241984.28	294027.75	2014	FT
Deputy Sheriff	104909	10797	11606	68909	255122.55	292573.09	2014	FT
Captain 3	26352	61984	62933	88715	239635.47	292489.53	2014	FT
Lieutenant, Fire Suppression	17146	65379	19192	85512	244429.63	292115.6	2014	FT
Nursing Supervisor	30395	10310	31535	92321	229163.7	291751.87	2014	FT
EMT/Paramedic/Firefighter	16429	65901	18645	85134	244444.58	291626.5	2014	FT
Nursing Supervisor Psychiatric	29349	3	45534	91683	231508.64	291586.51	2014	FT
Supervising Physician Spec	32370	3	44306	92212	229212.01	291299.75	2014	FT
EMT/Paramedic/Firefighter	16193	2351	74282	83438	245245.54	290423.75	2014	FT
EMT/Paramedic/Firefighter	16772	534	4403	84516	243349.9	289820.89	2014	FT
Dept Head IV	31759	3	7	93937	219184.68	289279.92	2014	FT
Captain, Emergency Med Svcs	22077	54379	33399	87465	238682.81	289241.61	2014	FT
Police Officer 2	11101	3948	25198	71594	250764.87	289114.95	2014	FT
Anesthetist	30874	42111	1396	92632	224732.38	288648.85	2014	PT
Dept Head IV	31761	3	7	93740	219212.28	288609.97	2014	FT
Senior Physician Specialist	27893	3	52274	92002	227292.8	288583.17	2014	FT
Battalion Chief, Fire Suppress	27296	29667	33912	90469	231677.42	288311.47	2014	FT
Nursing Supervisor Psychiatric	30394	3	28563	92213	225808	287898.44	2014	FT
Anesthetist	30990	29903	82042	92691	223570.38	287619.52	2014	PT
EMT/Paramedic/Firefighter	16777	64293	19626	85424	240040.46	287614.65	2014	FT
Manager VIII	30941	3	71181	93693	217851.02	286927.32	2014	FT
Dept Head III	30056	3	15425	93629	217248.49	286203.52	2014	FT
Firefighter	8689	51174	66869	87886	234568.41	285864.69	2014	FT
Nursing Supervisor	29986	3	27957	92500	221788.38	285003.26	2014	FT
Commander 3	31682	3	65135	91439	224389.98	283974.41	2014	FT
Sergeant 3	19430	60017	81672	82750	239023.1	283622.52	2014	FT
Captain, Fire Suppression	22152	52260	28975	88410	231192.23	283407.85	2014	FT
Lieutenant, Fire Suppression	29421	19049	28628	92717	219060.99	283247.77	2014	FT
EMT/Paramedic/Firefighter	16776	62880	18935	85389	235176.77	282691.13	2014	FT
Anesthetist	30827	3819	78045	92526	219265.3	282642.92	2014	PT
Captain 3	29445	5435	36351	91007	224322.03	282429.22	2014	FT
Captain, Emergency Med Svcs	22457	51725	24237	88509	229451.31	281855.96	2014	FT
Supervising Physician Spec	31885	3	7	91893	220532	281488.08	2014	FT
Police Officer 3	12322	2449	8876	74669	240766.21	280222.76	2014	FT
Captain 3	29446	48342	31471	89980	224457.08	279881.22	2014	FT
Dep Dir IV	31006	3	7	93528	211427.44	279732.11	2014	FT
Capt,Fire Prev or Fire Invsgtn	25489	46310	2965	87751	228427.07	279456.6	2014	FT
EMT/Paramedic/Firefighter	14009	64980	15696	82937	233802.24	278563.3	2014	FT
Dept Head IV	31758	3	7	91363	219184.67	278409.76	2014	FT
Firefighter	8691	1744	17249	81218	234934.78	278217.98	2014	FT
Captain 3	26356	62478	52644	88040	226247.24	277853.95	2014	FT
Sergeant 3	19157	54839	40824	80108	234575.11	277116.86	2014	FT
Chief Atty1 (Civil & Criminal)	31221	3	10567	92125	214801.54	276693.31	2014	FT
Chief Forensic Toxicologist	30116	3	18433	90695	218907.21	276091.54	2014	FT
Captain 3	29685	52196	12313	90391	219032.8	275450.35	2014	FT
EMT/Paramedic/Firefighter	15983	61560	18244	84710	228693.72	275408.72	2014	FT
Manager VIII	30652	3	7	93368	207693.49	275192.36	2014	FT
Captain, Fire Suppression	22186	49881	22771	88057	223419.02	275071.47	2014	FT
Captain 3	29691	3	22779	90994	216979.04	274992.9	2014	FT
EMT/Paramedic/Firefighter	15906	61484	18099	84630	228224.14	274841.12	2014	FT
Lieutenant, Fire Suppression	17148	57833	29869	85905	226486.74	274719.04	2014	FT
Supervising Physician Spec	30553	3	83243	90922	216424.43	274373.6	2014	FT
Dir Emp Relations Div	30575	3	7	93342	206872.05	274195.42	2014	FT
Dep Dir V	30369	3	7	93633	205107.99	274105.65	2014	FT
Anesthetist	29459	56014	75307	92271	211785.35	274104.22	2014	PT
Special Assistant 21	29737	3	68969	93406	206194.19	273987.18	2014	FT
Human Resources Director	31570	3	7	90451	217132.04	273727.02	2014	FT
Commander 3	30790	50510	64435	90876	215659.74	273447	2014	FT
Chief Atty1 (Civil & Criminal)	31096	3	10567	91419	213608.9	273104.33	2014	FT
Manager VIII	30465	3	7	93312	205813.37	272944.81	2014	FT
Assistant Chief Attorney 2	30992	3	25964	91404	213278.01	272699.81	2014	FT
Dep Dir V	30374	3	7	93292	205142.4	272188.01	2014	FT
Captain 3	26353	58201	53632	88564	219506.76	272032.91	2014	FT
Lieutenant, Fire Suppression	17150	56114	32698	85573	224147.46	271913.34	2014	FT
Assistant Chief Attorney 2	30994	3	8711	91374	212610.06	271885.3	2014	FT
Assistant Chief Attorney 2	30993	3	8711	91374	212610.04	271885.28	2014	FT
Manager VII	28555	3	19472	92965	205843.39	271481.67	2014	FT
Sergeant 3	19432	58776	11927	81055	228146.19	271311.88	2014	FT
Captain, Fire Suppression	22162	47340	24509	88190	219273.94	271204.93	2014	FT
Captain, Emergency Med Svcs	21702	49138	25438	87379	220661.56	271038.99	2014	FT
Supervising Physician Spec	30633	3	59330	91023	212700.03	270869.04	2014	FT
Firefighter	8258	63243	33457	82604	225926.04	270392.96	2014	FT
Manager VIII	30207	3	7	93184	203682.64	270324.85	2014	FT
Senior Physician Specialist	29910	3	338	91246	211057.6	270003.71	2014	FT
Lieut,Fire Prev	21714	55076	79673	84574	223372.67	269902.66	2014	FT
Nurse Practitioner	26786	12444	24142	91358	210474.24	269677.75	2014	FT
EMT/Paramedic/Firefighter	16322	60919	6012	84219	223438.67	269559.79	2014	FT
Dep Dir IV	30186	3	7	93085	203447.24	269477.8	2014	FT
Captain, Fire Suppression	21871	41901	35364	88718	216237.42	269101.48	2014	FT
Captain 3	29691	29456	2271	90392	212534.01	268951.59	2014	FT
Lieutenant, Fire Suppression	17150	49210	42576	87528	218082.89	268747.52	2014	FT
EMT/Paramedic/Firefighter	15897	59657	16511	84524	222098.42	268579.7	2014	FT
Dep Dir IV	30049	3	7	93130	202185.18	268507.51	2014	FT
Manager VIII	30032	3	7	93121	202039.33	268330.53	2014	FT
Captain, Fire Suppression	22187	51197	83041	87165	218008.43	268024.65	2014	FT
Lieutenant, Fire Suppression	16590	57939	19277	85219	220617.22	267898.54	2014	FT
Senior Physician Specialist	27893	3	36042	90905	209928	267816.53	2014	FT
Sergeant 3	19424	46433	46712	80501	224604.64	267429.54	2014	FT
Senior Physician Specialist	29650	3	84091	91105	208817.82	267271.35	2014	FT
Senior Physician Specialist	29649	3	84092	91103	208817.88	267270.3	2014	FT
Nurse Manager	26044	3	49358	90193	211288.15	267242.7	2014	FT
Captain 3	29685	15695	82757	90393	210508.48	266926.08	2014	FT
Captain, Emergency Med Svcs	21871	46296	22677	87871	215476.02	266738.94	2014	FT
Nurse Practitioner	26526	13387	20347	91079	207912.49	266253.57	2014	FT
Dep Dir V	29784	3	7	93024	199916.02	265885.98	2014	FT
Nurse Manager	28182	3	26915	91473	205893.28	265604.01	2014	FT
Lieutenant, Fire Suppression	16593	57213	19742	84554	218970.89	265483.2	2014	FT
Firefighter	8691	60904	36170	81961	221593.01	265464.97	2014	FT
Lieutenant, Fire Suppression	19712	48447	32830	86786	215694.8	265284.21	2014	FT
Manager VIII	29785	3	7	92905	199916.07	265192.26	2014	FT
Captain 3	29687	3	82756	90392	208750.52	265168.1	2014	FT
Captain 3	29685	3	82754	90390	208750.42	265167.95	2014	FT
Marine Engineer of Fire Boats	21962	41888	30182	88476	212748.88	265090.72	2014	FT
Supervising Physician Spec	29424	3	13661	89519	210842.92	265077.11	2014	PT
Pilot of Fire Boats	21874	50603	82901	86868	215351.68	265058.7	2014	FT
Lieutenant, Fire Suppression	17151	52938	31392	86354	215806.53	264754.53	2014	FT
Senior Physician Specialist	30358	3	25364	90854	206926.03	264630.29	2014	FT
EMT/Paramedic/Firefighter	17019	56474	17354	85312	216971.36	264364.56	2014	FT
Nurse Manager	26474	3	43347	90503	207609.78	264352.69	2014	FT
Firefighter	16832	61125	74799	80310	221545.96	264240.81	2014	FT
Manager VIII, MTA	26801	3	36333	91993	202799.69	264048.66	2014	FT
Manager VII	29453	3	7	93317	196839.44	264003.89	2014	FT
EMT/Paramedic/Firefighter	16328	56494	20348	85069	216655.47	263737.15	2014	FT
Senior Physician Specialist	29875	3	60454	90753	206063.91	263477.32	2014	FT
EMT/Paramedic/Firefighter	16539	55482	22674	85519	215686.06	263376.1	2014	FT
Sheriff's Lieutenant	16467	59828	230	82182	218902.74	262933.81	2014	FT
Nurse Manager	27955	64363	10081	90296	206722.52	262910.42	2014	FT
Senior Physician Specialist	30359	3	7	90839	205036.06	262683.23	2014	FT
Nurse Manager	28182	3	24749	90829	204866.24	262483.96	2014	FT
Firefighter	8688	60384	33713	82602	217868.08	262330.06	2014	FT
Nurse Manager	28181	3	24749	90756	204866.21	262289.55	2014	FT
Deputy Sheriff	105511	2658	25465	73674	223196.56	262207.83	2014	FT
Supervising Physician Spec	27255	3	36883	90203	206038.6	262015.32	2014	PT
Assistant Chief Attorney 1	29948	3	41490	90796	204422.1	261959.34	2014	FT
Assistant Chief Attorney 1	29946	3	41490	90794	204422.06	261959.27	2014	FT
Assistant Chief Attorney 1	29945	3	41490	90793	204422.04	261959.23	2014	FT
Assistant Chief Attorney 1	29942	3	41490	90792	204422	261959.17	2014	FT
Nurse Manager	28134	3	24625	90773	204453.93	261953.11	2014	FT
Battalion Chief, Fire Suppress	27160	14679	8733	89241	208154.37	261908.71	2014	FT
Police Officer 3	12096	62516	20329	73797	222831.56	261886.92	2014	FT
Lieutenant, Fire Suppression	20159	45702	32418	86643	212316.7	261672.69	2014	FT
Lieutenant 3	23729	37239	24036	86658	212153.37	261541.9	2014	FT
Nurse Manager	28077	3	24528	90761	204038.45	261483.8	2014	FT
Lieutenant, Fire Suppression	17146	54631	19238	85514	213739.02	261425.01	2014	FT
Sheriff's Lieutenant	16681	52380	33228	84389	215016.39	261334.27	2014	FT
Inspector 3	19427	43816	44836	80501	218322.89	261147.79	2014	FT
Firefighter	8692	61470	27797	81797	217197.81	260943.38	2014	FT
Inspector 3	19420	52294	21148	82705	216325.63	260878.67	2014	FT
Manager VIII, MTA	21240	3	68566	86903	211039.18	260809.36	2014	PT
Police Officer 3	10320	61363	33083	69793	223002.93	260748.17	2014	FT
Anesthetist	29158	54680	38684	90678	203598.91	260712.33	2014	PT
Captain, Fire Suppression	22393	27138	39858	89569	206257.25	260601.85	2014	FT
Manager VII	29316	3	7	92827	195626.74	260548.27	2014	FT
Senior Deputy Sheriff	2961	679	13119	74612	220947.38	260373.41	2014	FT
Captain 3	29685	3	62033	90034	204766.09	260352.31	2014	FT
Captain 3	28452	3	20435	89749	205326.24	260210.45	2014	FT
Supervising Physician Spec	29480	3	56738	91026	201929.01	260106.35	2014	FT
Captain, Fire Suppression	22188	39680	25535	88350	207970.36	260078.07	2014	FT
Assistant Sheriff	27981	3	4009	92714	195616.93	259793.64	2014	FT
Assistant Chief Attorney 1	29942	3	10567	90686	202608.5	259747.83	2014	FT
Assistant Chief Attorney 1	29958	3	8711	90685	202593.81	259732.72	2014	FT
Deputy Dir I, MTA	28849	3	41389	92799	194930.92	259688.2	2014	FT
Senior Physician Specialist	28997	3	82980	90679	202566.02	259685.76	2014	FT
Assistant Chief Attorney 1	29944	3	8711	90682	202546.02	259671.65	2014	FT
Assistant Chief Attorney 1	29944	3	8711	90681	202546.02	259671.64	2014	FT
Assistant Chief Attorney 1	29942	3	8711	90681	202546	259671.62	2014	FT
Captain 3	29685	3	51012	90340	203350.16	259634.24	2014	FT
Nurse Manager	27237	2645	34938	89528	205251.2	259511.65	2014	FT
Captain, Fire Suppression	22196	32869	36639	88327	207423.24	259483.64	2014	FT
Inspector 3	19423	45039	40735	81454	215940.82	259382.28	2014	FT
Police Officer 3	401	26258	324	52839	226165.08	259338.35	2014	PT
Lieutenant, Fire Suppression	16591	50099	33960	86237	210504.93	259259.51	2014	FT
Manager VI	29115	3	70829	92773	194456.24	259027.46	2014	FT
Captain 3	29689	3	49017	90036	203112.61	258699.07	2014	FT
Nurse Manager	26594	19730	33983	90638	201445.8	258478.91	2014	FT
Firefighter	8690	62595	15488	80355	215464.73	258189.37	2014	FT
Dep Dir IV	29147	3	7	92689	193994.52	258006.01	2014	FT
Manager VI	29044	3	7	92753	193224.42	257632.8	2014	FT
Assistant Chief Attorney 1	29729	3	10567	90511	200791.5	257552.5	2014	FT
Nursing Supervisor	29682	3	7	91085	199104	257481.97	2014	FT
Manager VIII	29152	3	7	92499	194008.42	257213.4	2014	PT
Inspector 3	19420	41982	41025	83760	211540.14	257090.31	2014	FT
Captain 3	29445	50992	52182	89855	201679.04	256778.51	2014	FT
Captain, Fire Suppression	21873	41459	17498	87594	205854.82	256645.3	2014	FT
Lieutenant, Fire Suppression	17149	46675	37795	85412	208860	256410.73	2014	FT
Project Manager 4	29767	3	7	90438	199807.01	256347.41	2014	FT
Police Officer 3	12025	64085	66505	73839	217151.9	256223.8	2014	FT
Lieutenant, Fire Suppression	16588	52432	22483	85213	208889.86	256157.46	2014	FT
Sergeant 3	20765	52768	71109	81965	212218.48	256095.59	2014	FT
Lieutenant, Fire Suppression	17152	54381	8871	84728	209341.42	256078.57	2014	FT
Lieutenant, Fire Suppression	17144	52146	19192	85513	208195.22	255881.2	2014	FT
EMT/Paramedic/Firefighter	13463	60110	1992	81282	212465.9	255814.69	2014	FT
Inspector 3	18612	52569	18558	80088	213201.42	255734.75	2014	FT
Captain, Emergency Med Svcs	22618	39911	13798	86777	206096	255668.18	2014	FT
Nurse Manager	25841	3	41823	89331	201670.88	255602.67	2014	FT
Lieutenant, Fire Suppression	17150	49972	27874	85905	207343.04	255575.34	2014	FT
Captain, Emergency Med Svcs	21886	36566	29448	87537	204555.69	255237.37	2014	FT
Nursing Supervisor	27521	3	23463	90307	198997.24	255202.85	2014	FT
Captain, Fire Suppression	21874	32797	32697	88558	202511.14	255019.99	2014	FT
Physician Assistant	27802	15365	1552	88941	201621.34	254844.57	2014	FT
Firefighter	8690	59708	26144	81377	211104.13	254505.97	2014	FT
Captain, Emergency Med Svcs	22173	42784	6275	86566	205161.13	254366.13	2014	FT
Nurse Manager	25636	3	42296	89101	200798.1	254328.42	2014	FT
Manager VII	28671	3	17903	92634	190339.26	254261.96	2014	FT
Firefighter	8690	59707	25460	81377	210795.6	254197.44	2014	FT
Battalion Chief, Fire Suppress	26977	3	26839	90557	197264.22	254165.83	2014	FT
Captain, Fire Suppression	22188	39660	13382	87692	203101.38	254081.79	2014	FT
Supervising Physician Spec	28772	3	65732	90452	197303.68	253900.48	2014	FT
EMT/Paramedic/Firefighter	16779	51542	18936	85388	206094.09	253608.44	2014	FT
Inspector 3	19420	22419	56111	83506	208294.35	253549.65	2014	FT
Nurse Manager	27352	3	23143	90066	197728.31	253368.35	2014	FT
Lieutenant 3	21327	27417	47134	82589	208807.35	253252.45	2014	FT
Dep Dir IV	28588	3	7	92588	189581.69	253212.03	2014	FT
Assistant Chief Attorney 1	29330	3	10567	90207	197119.5	253110.26	2014	FT
EMT/Paramedic/Firefighter	16778	50438	23095	85388	205427.31	252941.66	2014	FT
Senior Physician Specialist	29481	3	7	90139	197057.37	252883.73	2014	FT
Head Atty, Civil & Criminal	28830	3	58738	90171	196855.78	252766.4	2014	FT
Head Atty, Civil & Criminal	28830	3	58737	90170	196855.77	252766.38	2014	FT
Head Atty, Civil & Criminal	28830	3	58737	90169	196855.77	252766.37	2014	FT
Head Atty, Civil & Criminal	28828	3	58738	90170	196855.76	252766.37	2014	FT
Head Atty, Civil & Criminal	28829	3	58735	90170	196855.74	252766.35	2014	FT
Attorney (Civil/Criminal)	28826	3	58733	90167	196851.68	252761.45	2014	FT
EMT/Paramedic/Firefighter	16776	50808	20624	85391	205245.66	252761.41	2014	FT
Head Atty, Civil & Criminal	28832	3	58197	90158	196793.29	252690.18	2014	FT
Head Atty, Civil & Criminal	28829	3	58198	90159	196793.27	252690.17	2014	FT
Head Atty, Civil & Criminal	28829	3	58197	90159	196793.26	252690.16	2014	FT
Head Atty, Civil & Criminal	28829	3	58196	90159	196793.25	252690.15	2014	FT
Dep Dir IV	28346	3	7	92876	187571	252647.61	2014	FT
Lieutenant, Fire Suppression	17150	48065	28215	86107	203971.87	252482.1	2014	FT
Lieutenant, Fire Suppression	19653	40039	32669	87422	201976.58	252466.99	2014	FT
Supervising Physician Spec	28688	3	72825	89699	197664.66	252385.43	2014	FT
Dept Head III	28346	3	7	92766	187571	252086.27	2014	FT
Manager VII	28460	3	7	92560	188499.47	252006.14	2014	FT
Sergeant 3	19420	41422	39215	80476	209001.95	251820.75	2014	FT
Firefighter	8690	58344	27161	81813	207969.53	251722.84	2014	FT
Sergeant 3	18385	46703	34735	78966	209792.78	251579.79	2014	FT
Anesthetist	28184	16821	71932	90308	195310.05	251516.54	2014	PT
Lieutenant, Fire Suppression	15623	50870	25313	85289	204077.44	251448.42	2014	FT
Dep Dir IV	28398	3	7	92518	188080.25	251389.86	2014	FT
Lieutenant, Fire Suppression	16595	38762	42935	87492	200745.4	251345.65	2014	FT
Sergeant 3	19423	52278	78634	81631	207698.3	251286.47	2014	FT
Firefighter	8689	57373	30193	81971	207309.43	251195.29	2014	FT
Captain, Emergency Med Svcs	22111	38412	14377	86855	201467.04	251160.49	2014	FT
EMT/Paramedic/Firefighter	16774	50356	18935	85388	203569.65	251084	2014	FT
Dep Dir IV	28369	3	7	92505	187794.65	251044.99	2014	FT
Dep Dir IV	28346	3	7	92498	187571	250771.9	2014	FT
Senior Physician Specialist	27184	3	23858	89217	197054.2	250756.71	2014	FT
Dep Dir IV	28336	3	7	92494	187515.77	250704.84	2014	FT
Manager VIII	29015	3	7	90830	193085.02	250703.35	2014	FT
Lieutenant 3	23556	59038	47422	86179	201834.94	250480.41	2014	FT
Inspector 3	19424	45795	28275	81371	207051.15	250451.89	2014	FT
Physician Specialist	28716	3	59020	89687	195684.23	250365.05	2014	FT
Physician Specialist	28890	3	43875	89746	195466	250340.23	2014	FT
Lieutenant 3	23561	14411	40453	84674	203602.19	250279.81	2014	FT
Dept Head III	28346	3	7	92339	187571	250210.56	2014	FT
Dep Dir IV	28345	3	7	92338	187563.45	250201.11	2014	FT
Dept Head III	28342	3	7	92336	187544.95	250178.81	2014	FT
EMT/Paramedic/Firefighter	16322	54476	82322	83843	204478.61	250154.12	2014	FT
Senior Physician Specialist	27893	3	81238	90631	193065.6	250087.3	2014	FT
Sergeant 3	14784	50573	37526	75878	209783.37	249870.02	2014	FT
EMT/Paramedic/Firefighter	16777	50115	17253	85299	202442.48	249827.03	2014	FT
Nurse Manager	26595	3	22028	90572	192696.94	249642.59	2014	FT
Manager VI	28312	3	7	92268	187254.76	249556.61	2014	FT
Engineer/Architect Principal	26744	3	23446	89935	194151.33	249483.69	2014	FT
Insp, Fire Dept	18340	50079	11484	82916	204420.18	249157.83	2014	FT
Architectural Associate 1	28209	3	68293	90251	192997.21	249023.8	2014	FT
Firefighter	8690	58038	23904	81217	205711.07	248994.26	2014	FT
Dep Dir III	28206	3	7	92287	186411.29	248810.64	2014	FT
EMT/Paramedic/Firefighter	16775	49196	18935	85389	201213.38	248727.74	2014	FT
Lieutenant, Fire Suppression	17149	45993	27931	85880	200143.66	248325.32	2014	FT
Firefighter	7197	57465	31375	79488	206161.97	248278.82	2014	FT
Head Atty, Civil & Criminal	28830	3	10567	89853	193021.52	248113.19	2014	FT
Head Atty, Civil & Criminal	28829	3	10567	89853	193021.51	248113.18	2014	FT
Head Atty, Civil & Criminal	28829	3	10567	89853	193021.51	248113.18	2014	FT
Head Atty, Civil & Criminal	28834	3	8711	89850	192959.07	248037.03	2014	FT
Head Atty, Civil & Criminal	28833	3	8711	89850	192959.05	248037.01	2014	FT
Senior Physician Specialist	28998	3	7	89846	192920.02	247979.83	2014	FT
Sergeant 3	19423	49222	6677	81186	204611.75	247871.95	2014	FT
Nurse Practitioner	26199	65195	1033	90004	192320.92	247825.28	2014	FT
EMT/Paramedic/Firefighter	16776	48672	18936	85388	200284.65	247799	2014	FT
Manager VI	28073	3	7	92234	185411.39	247589.63	2014	FT
Police Officer 3	12259	60249	77125	74782	207875.17	247398.97	2014	FT
Senior Physician Specialist	28996	3	3368	81557	203816	247339.89	2014	FT
Dept Head II	28050	3	7	92228	185161.72	247277.35	2014	FT
Lieutenant 3	24499	27157	83673	86384	198259.03	247257.83	2014	FT
Clinical Nurse Specialist	28505	3	34847	90936	189178.02	247175.67	2014	FT
Clinical Nurse Specialist	28504	3	34847	90936	189178	247175.65	2014	FT
Clinical Nurse Specialist	28506	3	34847	90935	189178.06	247173.69	2014	FT
Nurse Practitioner	27805	55572	46680	90484	190424.86	247112.4	2014	FT
Manager V	28015	3	7	92239	184872.41	247060.17	2014	FT
Police Officer 3	13029	61075	46799	74613	207570.81	246997.19	2014	FT
Manager VII	28014	3	7	92205	184872.4	246935.41	2014	FT
Sergeant 3	19314	42061	33164	80398	204094.92	246856.88	2014	FT
Sergeant 3	19410	43906	27990	80543	203809.88	246658.28	2014	FT
Anesthetist	26511	2519	12434	85132	199470.33	246649.12	2014	PT
Nursing Supervisor	26286	3	26883	89277	192718.08	246547.59	2014	FT
Physician Specialist	28163	3	48648	90368	190067.65	246421.33	2014	FT
Manager VIII, MTA	27444	3	28921	92633	182454.81	246376.97	2014	FT
Lieut,Fire Prev	21716	42765	79673	84481	199936.86	246355.93	2014	FT
Dep Dir IV	27691	3	7	92631	182250.71	246157.49	2014	FT
Sergeant 3	19417	44173	26148	80488	203308.09	246130.59	2014	FT
Deputy Probation Officer	66975	3	11774	87621	195132.41	245983.44	2014	PT
Nurse Practitioner	25804	6418	77135	89885	190731.57	245917.72	2014	FT
Lieutenant 3	23560	11659	37513	84673	199222.59	245900.2	2014	FT
Sheriff's Sergeant	9341	59811	4167	78234	204431.21	245764.32	2014	FT
Sergeant 3	19431	15608	54751	81691	202029.81	245670.67	2014	FT
Lieutenant, Fire Suppression	17144	46253	21535	85548	197765.88	245491.92	2014	FT
Lieutenant, Fire Suppression	17147	47522	16325	85355	197944.44	245401.9	2014	FT
Lieutenant 3	23258	45938	43339	88315	193219.49	245253.54	2014	FT
Police Officer 3	12320	59447	66676	78375	203634.79	245032.44	2014	FT
Lieutenant 3	21326	13413	47829	83007	199904.06	244718.09	2014	FT
